Political Affiliation,Mean,Median,StdDev,p25,p75,n
confessional,195799.39404970902,71684.075383586,329123.0963095474,21193.924637814926,219146.07251851173,62
liberal,254826.18307197595,105576.597416143,451972.0165496172,45771.962863932946,298577.517935241,63
neutral,26744.121205192285,24459.0012852606,23695.717370272643,8838.280534675054,42524.49826449075,7
socialist,106573.68318288153,58300.529316912594,103740.62472513177,51885.92357841895,112988.28892137518,4
