Political Affiliation,Mean,Median,StdDev,p25,p75,n
confessional,264002.895355543,96084.4328780555,441345.91162781214,17806,326870.964314817,165
liberal,328133.595546057,104174.128958411,629125.740091686,19531.822194652526,302796.2421622502,146
neutral,325062.9691251856,325062.9691251856,442998.80383280624,168439.24000133242,481686.69824903883,2
socialist,201086.16085222046,13107.465256791,496883.8818206956,3017.44665451227,112005.7588971698,23
