Political Affiliation,Mean,Median,StdDev,p25,p75,n
confessional,471575.2451119505,214369.440417886,577338.521931859,69136.10191590492,696749.0275228866,78
liberal,640724.997857409,321203.72187419946,1052276.2737469347,99277.98002523156,681574.7399687995,82
socialist,830340.2323915187,296046.25714813,1189981.7731281125,148598.4064528729,1244935.07070847,3
